<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
속력을	속력/ncn+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
운동하고	운동/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
동안에는	동안/ncn+에/jca+는/jxc
어떤	어떤/mmd
힘도	힘/ncn+도/jxc
작용하지	작용/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
공은	공/ncn+은/jxc
관성에	관성/ncn+에/jca
의해	의하/pvg+어/ecx
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
움직인다	움직이/pvg+ㄴ다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
던진	던지/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
공	공/ncn
속에	속/ncn+에/jca
있을	있/paa+을/etm
리	리/nbn
없다	없/paa+다/ef
.	./sf
중력이	중력/ncn+이/jcs
아래로	아래/ncn+로/jca
공을	공/ncn+을/jco
끌어당기고	끌/pvg+어/ecs+당기/pvg+고/ecx
있을	있/px+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
단순하게	단순/ncps+하/xsm+게/ecs
이야기하면	이야기/ncpa+하/xsv+면/ecs
힘이	힘/ncn+이/jcs
미치는	미치/pvg+는/etm
방법은	방법/ncn+은/jxc
두	두/nnc
가지로	가지/nbu+로/jca
나눌	나누/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
사람이	사람/ncn+이/jcs
밀고	밀/pvg+고/ecc
당기는	당기/pvg+는/etm
힘처럼	힘/ncn+처럼/jca
직접	직접/mag
접촉해서	접촉/ncpa+하/xsv+어서/ecs
작용하는	작용/ncpa+하/xsv+는/etm
힘과	힘/ncn+과/jcj
중력이나	중력/ncn+이나/jcj
자기력처럼	자기/ncn+력/xsn+처럼/jca
서로	서로/ncn
떨어져서	떨어지/pvg+어서/ecs
작용하는	작용/ncpa+하/xsv+는/etm
힘이다	힘/ncn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
사람이	사람/ncn+이/jcs
공에	공/ncn+에/jca
힘을	힘/ncn+을/jco
줄	주/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
경우는	경우/ncn+는/jxc
접촉해	접촉/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
동안뿐이고	동안/ncn+뿐/jxc+이/jp+고/ecc
,	,/sp
손을	손/ncn+을/jco
떠난	떠나/pvg+ㄴ/etm
순간부터는	순간/ncn+부터/jxc+는/jxc
공에	공/ncn+에/jca
힘을	힘/ncn+을/jco
줄	주/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
접촉해	접촉/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
동안만	동안/ncn+만/jxc
공의	공/ncn+의/jcm
속도를	속도/ncn+를/jco
변화시킬	변화/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
던진	던지/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
공에	공/ncn+에/jca
남아	남/pvg+아/ecx
있다는	있/px+다/ef+는/etm
생각은	생각/ncn+은/jxc
무의미하다	무/xp+의미/ncpa+하/xsv+다/ef
.	./sf
그러나	그러나/maj
중력은	중력/ncn+은/jxc
다르다	다르/paa+다/ef
.	./sf
중력은	중력/ncn+은/jxc
물체에	물체/ncn+에/jca
계속해서	계속/ncpa+하/xsv+어서/ecs
작용하는	작용/ncpa+하/xsv+는/etm
힘이며	힘/ncn+이/jp+며/ecs
,	,/sp
그	그/mmd
물체가	물체/ncn+가/jcs
운동하든	운동/ncpa+하/xsv+든/ecc
정지하든	정지/ncpa+하/xsv+든/ecc
관계없이	관계/ncn+없/paa+이/xsa
일정한	일정/ncps+하/xsm+ㄴ/etm
크기의	크기/ncn+의/jcm
힘으로	힘/ncn+으로/jca
작용한다	작용/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러면	그러면/maj
이	이/mmd
힘과	힘/ncn+과/jcj
공의	공/ncn+의/jcm
운동을	운동/ncn+을/jco
어떻게	어떻/pad+게/ecs
설명할	설명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
처음에	처음/ncn+에/jca
사람이	사람/ncn+이/jcs
공에	공/ncn+에/jca
힘을	힘/ncn+을/jco
주어	주/pvg+어/ecs
속도를	속도/ncn+를/jco
증가시켜	증가/ncpa+시키/xsv+어/ecs
,	,/sp
사람의	사람/ncn+의/jcm
손을	손/ncn+을/jco
떠나는	떠나/pvg+는/etm
순간	순간/ncn
이	이/mmd
공이	공/ncn+이/jcs
어떤	어떤/mmd
속도를	속도/ncn+를/jco
가졌다고	가지/pvg+었/ep+다고/ecs
하자	하/pvg+자/ef
.	./sf
외부에	외부/ncn+에/jca
어떤	어떤/mmd
힘도	힘/ncn+도/jxc
작용하지	작용/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
이	이/mmd
공은	공/ncn+은/jxc
이	이/mmd
속도로	속도/ncn+로/jca
끝없이	끝/ncn+없/paa+이/xsa
등속	등속/ncn
직선	직선/ncn
운동을	운동/ncn+을/jco
하며	하/pvg+며/ecs
나아갈	나아가/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
실제로는	실제/ncn+로/jca+는/jxc
중력이	중력/ncn+이/jcs
공의	공/ncn+의/jcm
운동	운동/ncn
방향과	방향/ncn+과/jct
반대	반대/ncn
방향으로	방향/ncn+으로/jca
작용하므로	작용/ncpa+하/xsv+므로/ecs
공은	공/ncn+은/jxc
감속된다	감속/ncpa+되/xsv+ㄴ다/ef
.	./sf
즉	즉/mag
,	,/sp
음의	음/ncn+의/jcm
가속도를	가속도/ncn+를/jco
갖는	갖/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
속력은	속력/ncn+은/jxc
시간에	시간/ncn+에/jca
비례해서	비례/ncpa+하/xsv+어서/ecs
줄어들게	줄/pvg+어/ecx+들/px+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
이것을	이것/npd+을/jco
수식으로	수식/ncn+으로/jca
쓰면	쓰/pvg+면/ecs
v	v/f
=	=/sy
v	v/f
-	-/sd
gt	gt/f
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
여기서	여기/npd+서/jca
v	v/f
는	는/jxc
나중	나중/ncn
속력	속력/ncn
,	,/sp
v	v/f
는	는/jxc
처음	처음/ncn
속력	속력/ncn
,	,/sp
g	g/f
는	는/jxc
중력	중력/ncn
가속도	가속도/ncn
,	,/sp
t	t/f
는	는/jxc
시간이다	시간/ncn+이/jp+다/ef
.	./sf
즉	즉/mag
,	,/sp
일정하게	일정/ncps+하/xsm+게/ecs
속력이	속력/ncn+이/jcs
줄어드는	줄/pvg+어/ecx+들/px+는/etm
등가속도	등가속도/ncn
운동이다	운동/ncn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
얌전이의	얌전이/nq+의/jcm
생각이	생각/ncn+이/jcs
정답이다	정답/ncn+이/jp+다/ef
.	./sf
공	공/ncn
던져	던지/pvg+어/ecs
올리기	올리/pvg+기/etn
2	2/nno
앞	앞/ncn
문제의	문제/ncn+의/jcm
계속이다	계속/ncn+이/jp+다/ef
.	./sf
공을	공/ncn+을/jco
던져	던지/pvg+어/ecs
올리면	올리/pvg+면/ecs
다시	다시/mag
내려오는데	내리/pvg+어/ecs+오/pvg+는데/ecs
,	,/sp
그	그/mmd
내려오기	내리/pvg+어/ecs+오/pvg+기/etn
바로	바로/mag
직전에는	직전/ncn+에/jca+는/jxc
순간적으로	순간/ncn+적/xsn+으로/jca
정지하는	정지/ncpa+하/xsv+는/etm
시점이	시점/ncn+이/jcs
반드시	반드시/mag
있다	있/paa+다/ef
.	./sf
그	그/mmd
순간	순간/ncn
공은	공/ncn+은/jxc
제일	제일/mag
꼭대기에	꼭대기/ncn+에/jca
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
공이	공/ncn+이/jcs
맨	맨/mma
꼭대기에서	꼭대기/ncn+에서/jca
잠시	잠시/mag
멈춰	멈추/pvg+어/ecx
있는	있/px+는/etm
바로	바로/mag
그	그/mmd
순간	순간/ncn
,	,/sp
공은	공/ncn+은/jxc
어떤	어떤/mmd
힘을	힘/ncn+을/jco
어떻게	어떻/pad+게/ecs
받고	받/pvg+고/ecx
있는	있/px+는/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
사람이	사람/ncn+이/jcs
던진	던지/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
소모되었기	소모/ncpa+되/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
공은	공/ncn+은/jxc
멈춰	멈추/pvg+어/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그	그/mmd
순간에는	순간/ncn+에/jca+는/jxc
어떤	어떤/mmd
힘도	힘/ncn+도/jxc
작용하지	작용/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
공이	공/ncn+이/jcs
정지해	정지/ncpa+하/xsv+어/ecx
있다는	있/px+다/ef+는/etm
것은	것/nbn+은/jxc
중력과	중력/ncn+과/jct
던진	던지/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
평형을	평형/ncn+을/jco
이루고	이루/pvg+고/ecx
있음을	있/px+음/etn+을/jco
의미한다	의미/ncpa+하/xsv+ㄴ다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
던진	던지/pvg+ㄴ/etm
힘이라는	힘/ncn+이/jp+라/ef+는/etm
개념은	개념/ncn+은/jxc
틀렸다	틀리/pvg+었/ep+다/ef
.	./sf
중력과	중력/ncn+과/jcj
평형을	평형/ncn+을/jco
이루는	이루/pvg+는/etm
것은	것/nbn+은/jxc
공기	공기/ncn
저항력이다	저항/ncn+력/xsn+이/jp+다/ef
.	./sf
중력과	중력/ncn+과/jcj
저항력의	저항/ncn+력/xsn+의/jcm
크기가	크기/ncn+가/jcs
같아져서	같/paa+아/ecx+지/px+어서/ecs
운동이	운동/ncn+이/jcs
멈춘	멈추/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
처음부터	처음/ncn+부터/jxc
중력과	중력/ncn+과/jct
던진	던지/pvg+ㄴ/etm
힘은	힘/ncn+은/jxc
평형을	평형/ncn+을/jco
이루고	이루/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
공이	공/ncn+이/jcs
맨	맨/mma
꼭대기에서	꼭대기/ncn+에서/jca
멈춘	멈추/pvg+ㄴ/etm
것은	것/nbn+은/jxc
에너지가	에너지/ncn+가/jcs
모두	모두/mag
소모되었기	소모/ncpa+되/xsv+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
맨	맨/mma
꼭대기에서도	꼭대기/ncn+에서/jca+도/jxc
중력이	중력/ncn+이/jcs
아래로	아래/ncn+로/jca
작용하고	작용/ncpa+하/xsv+고/ecx
있으며	있/px+으며/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
힘은	힘/ncn+은/jxc
없다	없/paa+다/ef
.	./sf
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
순간도	순간/ncn+도/jxc
속도가	속도/ncn+가/jcs
일정하게	일정/ncps+하/xsm+게/ecs
변하고	변하/pvg+고/ecx
있는	있/px+는/etm
과정이라고	과정/ncn+이/jp+라고/ecs
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
앞	앞/ncn
문제에	문제/ncn+에/jca
이야기한	이야기/ncpa+하/xsv+ㄴ/etm
것처럼	것/nbn+처럼/jca
중력은	중력/ncn+은/jxc
물체의	물체/ncn+의/jcm
운동	운동/ncn
상태에	상태/ncn+에/jca
관계없이	관계/ncn+없/paa+이/xsa
일정하게	일정/ncps+하/xsm+게/ecs
작용한다	작용/ncpa+하/xsv+ㄴ다/ef
.	./sf
공을	공/ncn+을/jco
처음에	처음/ncn+에/jca
던져	던지/pvg+어/ecs
올린	올리/pvg+ㄴ/etm
위쪽	위/ncn+쪽/nbn
방향을	방향/ncn+을/jco
양의	양/ncn+의/jcm
방향이라고	방향/ncn+이/jp+라고/ecs
한다면	하/pvg+ㄴ다면/ecs
,	,/sp
중력은	중력/ncn+은/jxc
음의	음/ncn+의/jcm
방향으로	방향/ncn+으로/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
크기로	크기/ncn+로/jca
작용한다	작용/ncpa+하/xsv+ㄴ다/ef
.	./sf
따라서	따라서/maj
속력이	속력/ncn+이/jcs
일정하게	일정/ncps+하/xsm+게/ecs
줄어들다가	줄/pvg+어/ecs+들/pvg+다가/ecs
맨	맨/mma
꼭대기	꼭대기/ncn
지점에서는	지점/ncn+에서/jca+는/jxc
속력이	속력/ncn+이/jcs
0	0/nnc
이되는	이/jcc+되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
그	그/mmd
다음에는	다음/ncn+에/jca+는/jxc
아래쪽	아래/ncn+쪽/nbn
방향	방향/ncn
,	,/sp
즉	즉/mag
음의	음/ncn+의/jcm
방향으로	방향/ncn+으로/jca
속력이	속력/ncn+이/jcs
점점	점점/mag
커지는	커지/pvg+는/etm
운동을	운동/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf
이것은	이것/npd+은/jxc
연속적으로	연속/ncn+적/xsn+으로/jca
일어나는	일어나/pvg+는/etm
운동이며	운동/ncn+이/jp+며/ecs
,	,/sp
일정한	일정/ncps+하/xsm+ㄴ/etm
가속도로	가속도/ncn+로/jca
운동하는	운동/ncpa+하/xsv+는/etm
예이다	예/ncn+이/jp+다/ef
.	./sf
내려올	내리/pvg+어/ecs+오/pvg+ㄹ/etm
때	때/ncn
속력이	속력/ncn+이/jcs
커지는	커지/pvg+는/etm
것은	것/nbn+은/jxc
힘의	힘/ncn+의/jcm
방향과	방향/ncn+과/jcj
운동	운동/ncn
방향이	방향/ncn+이/jcs
같기	같/paa+기/etn
때문이며	때문/nbn+이/jp+며/ecs
,	,/sp
속력이	속력/ncn+이/jcs
시간에	시간/ncn+에/jca
따라	따르/pvg+아/ecs
커지는	커지/pvg+는/etm
비율은	비율/ncn+은/jxc
위로	위/ncn+로/jca
올라갈	오르/pvg+아/ecs+가/pvg+ㄹ/etm
때와	때/ncn+와/jct
정확히	정확/ncn+히/xsa
똑같다	똑같/paa+다/ef
.	./sf
같은	같/paa+은/etm
가속도	가속도/ncn
운동의	운동/ncn+의/jcm
연장이기	연장/ncn+이/jp+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이것을	이것/npd+을/jco
속도와	속도/ncn+와/jcj
시간	시간/ncn
그래프로	그래프/ncn+로/jca
그려	그리/pvg+어/ecx
보면	보/px+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
여기서는	여기/npd+서/jca+는/jxc
공기에	공기/ncn+에/jca
의한	의하/pvg+ㄴ/etm
저항력은	저항/ncn+력/xsn+은/jxc
무시되었다	무시/ncpa+되/xsv+었/ep+다/ef
.	./sf
실제로	실제/ncn+로/jca
공기에	공기/ncn+에/jca
의한	의하/pvg+ㄴ/etm
저항력은	저항/ncn+력/xsn+은/jxc
속도가	속도/ncn+가/jcs
커지는	커지/pvg+는/etm
만큼	만큼/nbn
증가하는데	증가/ncpa+하/xsv+는데/ecs
,	,/sp
우리가	우리/npp+가/jcs
던진	던지/pvg+ㄴ/etm
공의	공/ncn+의/jcm
속도는	속도/ncn+는/jxc
비교적	비교/ncn+적/xsn
작으므로	작/paa+으므로/ecs
여기서는	여기/npd+서/jca+는/jxc
크게	크/paa+게/ecs
영향을	영향/ncn+을/jco
주지	주/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
그러나	그러나/maj
빗방울의	빗방울/ncn+의/jcm
낙하	낙하/ncn
운동처럼	운동/ncn+처럼/jca
질량도	질량/ncn+도/jxc
작고	작/paa+고/ecc
오랜	오랜/mma
시간	시간/ncn
낙하하는	낙하/ncpa+하/xsv+는/etm
경우	경우/ncn
,	,/sp
저항력은	저항/ncn+력/xsn+은/jxc
중요한	중요/ncps+하/xsm+ㄴ/etm
힘이	힘/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
그러므로	그러므로/maj
정답은	정답/ncn+은/jxc
얌전이	얌전이/nq
.	./sf
기구	기구/ncn
여행	여행/ncn
철수가	철수/nq+가/jcs
여의도	여의도/nq
광장에서	광장/ncn+에서/jca
기구를	기구/ncn+를/jco
타고	타/pvg+고/ecx
올라가기	오르/pvg+아/ecs+가/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
철수의	철수/nq+의/jcm
친구	친구/ncn
송이는	송이/nq+는/etm
하늘로	하늘/ncn+로/jca
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
기구를	기구/ncn+를/jco
여의도	여의도/nq
광장에서	광장/ncn+에서/jca
지켜보고	지켜보/pvg+고/ecx
있기로	있/px+기/etn+로/jca
했다	하/pvg+었/ep+다/ef
.	./sf
마침	마침/mag
바람도	바람/ncn+도/jxc
없어서	없/paa+어서/ecs
순조롭게	순조/ncps+롭/xsm+게/ecs
똑바로	똑바로/mag
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있었고	있/px+었/ep+고/ecs
,	,/sp
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
속도도	속도/ncn+도/jxc
일정했다	일정/ncps+하/xsm+었/ep+다/ef
.	./sf
한참	한참/mag
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있을	있/px+을/etm
때	때/ncn
철수는	철수/nq+는/jxc
송이를	송이/nq+를/jco
놀려	놀리/pvg+어/ecx
주려고	주/px+려고/ecs
,	,/sp
갖고	갖/pvg+고/ecs
갔던	가/pvg+았/ep+던/etm
고무공을	고무/ncn+공/ncn+을/jco
기구에서	기구/ncn+에서/jca
가만히	가만/ncn+히/xsa
떨어뜨렸다	떨어뜨리/pvg+었/ep+다/ef
.	./sf
이	이/mmd
공이	공/ncn+이/jcs
떨어지는	떨어지/pvg+는/etm
것이	것/nbn+이/jcs
철수와	철수/nq+와/jcj
송이에게는	송이/nq+에게/jca+는/jxc
어떻게	어떻/pad+게/ecs
보였을까	보이/pvg+었/ep+을까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
철수와	철수/nq+와/jcj
송이가	송이/ncn+가/jcs
보는	보/pvg+는/etm
공의	공/ncn+의/jcm
운동은	운동/ncn+은/jxc
똑같을	똑같/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
중력의	중력/ncn+의/jcm
영향을	영향/ncn+을/jco
받은	받/pvg+은/etm
공은	공/ncn+은/jxc
아래로	아래/ncn+로/jca
떨어지기	떨어지/pvg+기/etn
때문에	때문/nbn+에/jca
,	,/sp
철수와	철수/nq+와/jcj
송이는	송이/nq+는/etm
둘	둘/nnc
다	다/mag
속력이	속력/ncn+이/jcs
점점	점점/mag
커지는	커지/pvg+는/etm
것을	것/nbn+을/jco
보게	보/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
철수의	철수/nq+의/jcm
입장에서는	입장/ncn+에서/jca+는/jxc
공이	공/ncn+이/jcs
철수와	철수/nq+와/jct
같은	같/paa+은/etm
속력을	속력/ncn+을/jco
갖고	갖/pvg+고/ecx
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있었으므로	있/px+었/ep+으므로/ecs
공은	공/ncn+은/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
떨어지는	떨어지/pvg+는/etm
것처럼	것/nbn+처럼/jca
보이고	보이/pvg+고/ecc
,	,/sp
송이에게는	송이/nq+에게/jca+는/jxc
공의	공/ncn+의/jcm
속도가	속도/ncn+가/jcs
점점	점점/mag
빨라지면서	빠르/paa+아/ecx+지/px+면서/ecs
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
꿈돌이	꿈돌이/nq
생각과는	생각/ncn+과/jct+는/jxc
반대의	반대/ncn+의/jcm
현상이	현상/ncn+이/jcs
벌어진다	벌어지/pvg+ㄴ다/ef
.	./sf
철수와	철수/nq+와/jcj
공은	공/ncn+은/jxc
같은	같/paa+은/etm
속력을	속력/ncn+을/jco
가졌으므로	가지/pvg+었/ep+으므로/ecs
,	,/sp
중력	중력/ncn
때문에	때문/nbn+에/jca
떨어지는	떨어지/pvg+는/etm
공을	공/ncn+을/jco
철수가	철수/nq+가/jcs
볼	보/pvg+ㄹ/etm
때는	때/ncn+는/jxc
속력이	속력/ncn+이/jcs
점점	점점/mag
증가하는	증가/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
반면	반면/ncn
,	,/sp
송이는	송이/nq+는/etm
공과	공/ncn+과/jcj
철수가	철수/nq+가/jcs
함께	함께/mag
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있는	있/px+는/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecx
있었으므로	있/px+었/ep+으므로/ecs
,	,/sp
공이	공/ncn+이/jcs
떨어질	떨어지/pvg+ㄹ/etm
때는	때/ncn+는/jxc
기구가	기구/ncn+가/jcs
올라갔던	오르/pvg+아/ecs+가/pvg+았/ep+던/etm
속도로	속도/ncn+로/jca
떨어지는	떨어지/pvg+는/etm
것을	것/nbn+을/jco
보게	보/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
철수	철수/nq
입장에서는	입장/ncn+에서/jca+는/jxc
정지된	정지/ncpa+되/xsv+ㄴ/etm
상태에서	상태/ncn+에서/jca
공을	공/ncn+을/jco
떨어뜨린	떨어뜨리/pvg+ㄴ/etm
것이므로	것/nbn+이/jp+므로/ecs
,	,/sp
중력에	중력/ncn+에/jca
의해	의하/pvg+어/ecs
공의	공/ncn+의/jcm
속력이	속력/ncn+이/jcs
점점	점점/mag
빨라지는	빠르/paa+아/ecx+지/px+는/etm
것을	것/nbn+을/jco
보게	보/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
송이	송이/nq
입장에서는	입장/ncn+에서/jca+는/jxc
공이	공/ncn+이/jcs
기구와	기구/ncn+와/jct
함께	함께/mag
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있었으므로	있/px+었/ep+으므로/ecs
,	,/sp
철수가	철수/nq+가/jcs
공을	공/ncn+을/jco
떨어뜨린	떨어뜨리/pvg+ㄴ/etm
순간부터	순간/ncn+부터/jxc
조금	조금/mag
올라갔다가	오르/pvg+아/ecs+가/pvg+았/ep+다가/ecs
다시	다시/mag
속력이	속력/ncn+이/jcs
커지면서	커지/pvg+면서/ecs
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
것을	것/nbn+을/jco
보게	보/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
관성의	관성/ncn+의/jcm
법칙에	법칙/ncn+에/jca
의해	의하/pvg+어/ecx
철수에게는	철수/nq+에게/jca+는/jxc
공이	공/ncn+이/jcs
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
보일	보이/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecs
,	,/sp
송이에게는	송이/ncn+에게/jca+는/jxc
공의	공/ncn+의/jcm
속력이	속력/ncn+이/jcs
점점	점점/mag
빨라지는	빠르/paa+아/ecx+지/px+는/etm
것처럼	것/nbn+처럼/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
기구	기구/ncn
속에	속/ncn+에/jca
있던	있/paa+던/etm
모든	모든/mma
물체는	물체/ncn+는/jxc
기구와	기구/ncn+와/jct
같은	같/paa+은/etm
속력으로	속력/ncn+으로/jca
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이것은	이것/npd+은/jxc
송이	송이/nq
입장에서	입장/ncn+에서/jca
본	보/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
철수에게는	철수/nq+에게/jca+는/jxc
기구	기구/ncn
속의	속/ncn+의/jcm
물체들이	물체/ncn+들/xsn+이/jcs
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
것처럼	것/nbn+처럼/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
그	그/mmd
이유는	이유/ncn+는/jxc
철수도	철수/nq+도/jxc
같은	같/paa+은/etm
속력으로	속력/ncn+으로/jca
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
즉	즉/mag
상대	상대/ncn
속도가	속도/ncn+가/jcs
0	0/nnc
이라는	이/jp+라/ef+는/etm
말이다	말/ncn+이/jp+다/ef
.	./sf
그래서	그래서/maj
철수가	철수/nq+가/jcs
공을	공/ncn+을/jco
가만히	가만/ncn+히/xsa
떨어뜨리게	떨어뜨리/pvg+게/ecs
되면	되/pvg+면/ecs
,	,/sp
처음	처음/ncn
속력이	속력/ncn+이/jcs
0	0/nnc
에서	에서/jca
시작해서	시작/ncpa+하/xsv+어서/ecs
점점	점점/mag
속력이	속력/ncn+이/jcs
커지는	커지/pvg+는/etm
자유	자유/ncn
낙하	낙하/ncn
운동을	운동/ncn+을/jco
보게	보/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
중력	중력/ncn
때문에	때문/nbn+에/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
가속도를	가속도/ncn+를/jco
가지고	가지/pvg+고/ecx
떨어지게	떨어지/pvg+게/ecs
되면	되/pvg+면/ecs
,	,/sp
시간에	시간/ncn+에/jca
비례해서	비례/ncpa+하/xsv+어서/ecs
속력이	속력/ncn+이/jcs
커지는	커지/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것을	이것/npd+을/jco
식으로	식/ncn+으로/jca
쓰면	쓰/pvg+면/ecs
v	v/f
=	=/sy
gt	gt/f
이다	이/jp+다/ef
.(	./sf+(/sl
여기서	여기/npd+서/jca
v	v/f
는	는/jxc
속력	속력/ncn
,	,/sp
g	g/f
는	는/jxc
중력	중력/ncn
가속도	가속도/ncn
,	,/sp
t	t/f
는	는/jxc
시간이다	시간/ncn+이/jp+다/ef
