<tdmsfile>
#17:ph08[1003]
나트륨	나트륨/ncn
표시된	표시/ncpa+되/xsv+ㄴ/etm
)	)/sr
가속도의	가속도/ncn+의/jcm
크기와	크기/ncn+와/jct
같다	같/paa+다/ef
.	./sf
#17:ph05[41]
이것은	이것/npd+은/jxc
4	4/nno
-	-/sd
8	8/nno
절에서	절/nbu+에서/jca
논의한대로	논의/ncpa+하/xsv+ㄴ/etm+대로/nbn
,	,/sp
기준계에	기준/ncn+계/xsn+에/jca
대해	대하/pvg+어/ecs
정지하고	정지/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
물체는	물체/ncn+는/jxc
다른	다르/paa+ㄴ/etm
기준계에	기준/ncn+계/xsn+에/jca
대해선	대하/pvg+어서/ecs+ㄴ/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
속도로	속도/ncn+로/jca
운동한다는	운동/ncpa+하/xsv+ㄴ다/ef+는/etm
것과	것/nbn+과/jct
잘	잘/mag
들어맞는다	들/pvg+어/ecs+맞/pvg+는다/ef
.	./sf
#17:ph03[271]
벡터	벡터/ncn
a	a/f
의	의/jcm
성분	성분/ncn
a_	a/f+_/sy
{	{/sl
x	x/f
}	}/sr
와	와/jcj
a_	a/f+_/sy
{	{/sl
y	y/f
}	}/sr
는	는/jxc
a	a/f
의	의/jcm
시작점에	시작/ncn+점/ncn+에/jca
좌표축의	좌표/ncn+축/ncn+의/jcm
원점을	원점/ncn+을/jco
맞추고	맞추/pvg+고/ecc
벡터의	벡터/ncn+의/jcm
투영을	투영/ncn+을/jco
생각함으로써	생각/ncpa+하/xsv+ㅁ/etn+으로써/jca
얻을	얻/pvg+을/etm
수	수/nbn
있다	있/paa+다/ef
[	[/sl
그림	그림/ncn
(	(/sl
3	3/nno
-	-/sd
8	8/nno
)].	)/sr+]/sr+./sf
#17:ph03[89]
그림에서	그림/ncn+에서/jca
성분의	성분/ncn+의/jcm
부호를	부호/ncn+를/jco
표시하기	표시/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
화살표의	화살표/ncn+의/jcm
끝에	끝/ncn+에/jca
관례에	관례/ncn+에/jca
따라	따르/pvg+아/ecs
양	양/ncn
또는	또는/maj
음의	음/ncn+의/jcm
방향	방향/ncn
으로	으로/jca
삼각형을	삼각형/ncn+을/jco
붙이고	붙이/pvg+고/ecx
있다	있/px+다/ef
.	./sf
#17:ph03[13]
입자가	입자/ncn+가/jcs
그림	그림/ncn
(	(/sl
3	3/nno
-	-/sd
1	1/nno
a	a/f
)	)/sr
에서처럼	에서/jca+처럼/jca
그	그/mmd
위치를	위치/ncn+를/jco
점	점/ncn
A	A/f
에서	에서/jca
점	점/ncn
B	B/f
로	로/jca
바꾸었다면	바꾸/pvg+었/ep+다/ef+면/ecs
화살표로	화살표/ncn+로/jca
표시한	표시/ncpa+하/xsv+ㄴ/etm
것처럼	것/nbn+처럼/jca
A	A/f
에서	에서/jca
B	B/f
로	로/jca
변위했다고	변위/ncpa+하/xsv+었/ep+다/ef+고/jcr
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
#17:ph03[8]
벡터로	벡터/ncn+로/jca
표현될	표현/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
몇	몇/mma
가지	가지/nbu
물리량	물리/ncn+량/ncn
중에는	중/nbn+에/jca+는/jxc
변위	변위/ncn
,	,/sp
속도	속도/ncn
,	,/sp
가속도	가속도/ncn
,	,/sp
힘	힘/ncn
및	및/maj
자기장과	자기장/ncn+과/jct
같은	같/paa+은/etm
것들이	것/nbn+들/xsn+이/jcs
있다	있/paa+다/ef
.	./sf
#17:ph02[1031]
차량들이	차량/ncn+들/xsn+이/jcs
원활하게	원활/ncps+하/xsm+게/ecs
주행을	주행/ncn+을/jco
계속하려면	계속/ncpa+하/xsv+려면/ecs
교차로	교차/ncn+로/xsn
2	2/nno
번의	번/nbu+의/jcm
청색신호	청색/ncn+신호/ncn
시작	시작/ncn
시간과	시간/ncn+과/jcj
교차로	교차/ncn+로/xsn
3	3/nno
번의	번/nbu+의/jcm
시작	시작/ncn
시간	시간/ncn
사이의	사이/ncn+의/jcm
차이는	차이/ncn+는/jxc
얼마이어야	얼마/ncn+이/jp+어야/ecx
하는가	하/px+는가/ef
?	?/sf
#17:ph02[1016]
아마도	아마도/mag
교통소통을	교통/ncn+소통/ncn+을/jco
좀	좀/mag
더	더/mag
원활하게	원활/ncps+하/xsm+게/ecx
하기	하/px+기/etn
위해서	위하/pvg+어서/ecs
청색신호	청색/ncn+신호/ncn
간격을	간격/ncn+을/jco
늘이고	늘이/pvg+고/ecc
적색신호	적색/ncn+신호/ncn
간격을	간격/ncn+을/jco
줄이고	줄이/pvg+고/ecx
싶을	싶/px+을/etm
때가	때/ncn+가/jcs
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#17:ph02[520]
x	x/f
와	와/jct
t	t/f
의	의/jcm
그래프에서	그래프/ncn+에서/jca
시간	시간/ncn
간격	간격/ncn
dt	dt/f
사이의	사이/ncn+의/jcm
평균속도는	평균/ncn+속도/ncn+는/jxc
이동점의	이동/ncn+점/ncn+의/jcm
두	두/nnc
끝을	끝/ncn+을/jco
연결하는	연결/ncpa+하/xsv+는/etm
직선의	직선/ncn+의/jcm
기울기로	기울기/ncn+로/jca
표시한다	표시/ncpa+하/xsv+ㄴ다/ef
.	./sf
#17:ph02[393]
Cleveland	Cleveland/f
Indians	Indians/f
팀의	팀/ncn+의/jcm
단원들이	단원/ncn+들/xsn+이/jcs
그	그/mmd
전	전/mma
해에	해/ncn+에/jca
700	700/nnc
ft	ft/su
의	의/jcm
높은	높/paa+은/etm
빌딩의	빌딩/ncn+의/jcm
꼭대기에서	꼭대기/ncn+에서/jca
떨어지는	떨어지/pvg+는/etm
야구공을	야구/ncn+공/ncn+을/jco
잡는	잡/pvg+는/etm
기록을	기록/ncn+을/jco
세웠었다	세우/pvg+었었/ep+다/ef
.	./sf
#17:ph02[302]
한편	한편/maj
이들	이/npd+들/xsn
두	두/nnc
방정식에	방정/ncn+식/ncn+에/jca
들어	들/pvg+어/ecx
있는	있/px+는/etm
가속도	가속도/ncn
a	a/f
를	를/jxc
소거하여	소거/ncpa+하/xsv+여/ecs
a	a/f
가	가/jcs
없는	없/paa+는/etm
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
방정식을	방정/ncn+식/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
#17:ph02[273]
이들	이/npd+들/xsn
방정식을	방정/ncn+식/ncn+을/jco
유도하는	유도/ncpa+하/xsv+는/etm
한	한/nnc
가지	가지/nbu
방법은	방법/ncn+은/jxc
이	이/mmd
절에	절/ncn+에/jca
주어져	주/pvg+어/ecx+지/px+어/ecx
있고	있/px+고/ecc
또	또/maj
다른	다르/paa+ㄴ/etm
방법이	방법/ncn+이/jcs
다음	다음/ncn
절에	절/ncn+에/jca
주어져	주/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
#17:ph02[179]
오른쪽으로	오른쪽/ncn+으로/jca
향한	향하/pvg+ㄴ/etm
네	네/nnc
화살표들은	화살표/ncn+들/xsn+은/jxc
모두	모두/mag
x	x/f
의	의/jcm
증가	증가/ncn
,	,/sp
즉	즉/maj
x	x/f
의	의/jcm
변화량인	변화/ncn+량/ncn+이/jp+ㄴ/etm
501019600       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
Delta	Delta/f
x	x/f
501019650       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
가	가/jcs
양의	양/ncn+의/jcm
값을	값/ncn+을/jco
갖는다는	갖/pvg+는다/ef+는/etm
것을	것/nbn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
#17:ph02[67]
이	이/mmd
예제도	예제/ncn+도/jxc
역시	역시/mag
앞의	앞/ncn+의/jcm
예제처럼	예제/ncn+처럼/jca
출발점에서부터	출발/ncn+점/ncn+에서/jca+부터/jxc
도착점까지의	도착/ncn+점/ncn+까지/jxc+의/jcm
운전자	운전/ncn+자/xsn
변위	변위/ncn
501019840       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
Delta	Delta/f
x	x/f
501019890       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
를	를/jco
구하고	구하/pvg+고/ecc
이것을	이것/npd+을/jco
경과시간	경과/ncn+시간/ncn
t	t/f
로	로/jca
나누면	나누/pvg+면/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph01[219]
윤초라고	윤초/ncn+라/ef+고/jcr
부르는	부르/pvg+는/etm
여분의	여분/ncn+의/jcm
1	1/nnc
초는	초/nbu+는/jxc
원자	원자/ncn
시간표준에	시간/ncn+표준/ncn+에/jca
의해	의하/pvg+어/ecs
측정했을	측정/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
지구의	지구/ncn+의/jcm
회전율이	회전/ncn+율/xsn+이/jcs
느리게	느리/paa+게/ecs
감소하는	감소/ncpa+하/xsv+는/etm
사실을	사실/ncn+을/jco
보정하기	보정/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
도입되었다	도입/ncpa+되/xsv+었/ep+다/ef
.	./sf
#17:ph01[202]
만일	만일/mag
온도와	온도/ncn+와/jct
같은	같/paa+은/etm
다른	다르/paa+ㄴ/etm
물리량이	물리/ncn+량/ncn+이/jcs
표준을	표준/ncn+을/jco
선택할	선택/ncpa+하/xsv+ㄹ/etm
때	때/ncn
규정되어야만	규정/ncpa+되/xsv+어야/ecs+만/jxc
한다면	하/px+ㄴ다/ef+면/ecs
길이를	길이/ncn+를/jco
과연	과연/mag
기본	기본/ncn
물리량이라고	물리/ncn+량/ncn+이/jp+라/ef+고/jcr
부를	부르/pvg+ㄹ/etm
수	수/nbn
있겠는가	있/paa+겠/ep+는가/ef
?	?/sf
#17:ph01[87]
그리고	그리고/maj
이들	이/npd+들/xsn
501020400       <                       </sl
b	b/f
>	>/sr
이차원기	이차/ncn+원기/ncn
501020440       </                      </sl+//s
b	b/f
>	>/sr
들은	들/xsn+은/jxc
복잡한	복잡/ncps+하/xsm+ㄴ/etm
연쇄비교과정을	연쇄/ncn+비교/ncn+과정/ncn+을/jco
통해	통하/pvg+어/ecs
모든	모든/mma
측정장치가	측정/ncn+장치/ncn+가/jcs
미터원기로부터	미터/ncn+원기/ncn+로/jca+부터/jxc
그	그/mmd
정확도를	정확/ncn+도/xsn+를/jco
유지하도록	유지/ncpa+하/xsv+도록/ecs
다른	다르/paa+ㄴ/etm
많은	많/paa+은/etm
미터자를	미터/ncn+자/xsn+를/jco
만드는데	만들/pvg+는데/ecs
쓰여졌다	쓰이/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
#15:ph08[1535]                                 
이	이/mmd
상자를	상자/ncn+를/jco
오른쪽으로	오른쪽/ncn+으로/jca
잡아당겨	잡/pvg+아/ecs+당기/pvg+어/ecs
용수철이	용수철/ncn+이/jcs
늘어나기	늘/pvg+어/ecx+나/px+기/etn
전의	전/ncn+의/jcm
위치로부터	위치/ncn+로/jca+부터/jxc
10	10/nnc
cm	cm/su
늘어나게	늘/pvg+어/ecx+나/px+게/ecx
한	하/px+ㄴ/etm
뒤	뒤/ncn
정지상태로부터	정지/ncn+상태/ncn+로/jca+부터/jxc
놓아	놓/pvg+아/ecx
주었다	주/px+었/ep+다/ef
.	./sf
#16:ph08[1410]
여기서	여기/npd+서/jca
e	e/f
는	는/jxc
양성자와	양성자/ncn+와/jcj
전자가	전자/ncn+가/jcs
갖는	갖/pvg+는/etm
전하량의	전하/ncn+량/ncn+의/jcm
크기	크기/ncn
,	,/sp
k	k/f
는	는/jxc
상수	상수/ncn
그리고	그리고/maj
r	r/f
은	은/jxc
양성자와	양성자/ncn+와/jcj
전자	전자/ncn
사이의	사이/ncn+의/jcm
거리를	거리/ncn+를/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
#16:ph08[1371]
(	(/sl
a	a/f
)	)/sr
높은	높/paa+은/etm
봉우리에서	봉우리/ncn+에서/jca
출발한	출발/ncpa+하/xsv+ㄴ/etm
스키	스키/ncn
선수가	선수/ncn+가/jcs
스키폴을	스키폴/ncn+을/jco
사용하지	사용/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
활강했다면	활강/ncpa+하/xsv+었/ep+다/ef+면/ecs
낮은	낮/paa+은/etm
봉우리에	봉우리/ncn+에/jca
도착할	도착/ncpa+하/xsv+ㄹ/etm
때	때/ncn
그의	그/npp+의/jcm
속도는	속도/ncn+는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#16:ph08[1221]
(	(/sl
b	b/f
)	)/sr
토막이	토막/ncn+이/jcs
고리의	고리/ncn+의/jcm
정점에	정점/ncn+에/jca
도달했을	도달/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
궤도에서	궤도/ncn+에서/jca
탈선	탈선/ncn
이탈되지	이탈/ncpa+되/xsv+지/ecx
않도록	않/px+도록/ecs
하려면	하/pvg+려면/ecs
최소한	최소한/mag
어느	어느/mmd
높이에서	높이/ncn+에서/jca
토막을	토막/ncn+을/jco
놓아주어야	놓/pvg+아/ecx+주/px+어야/ecs
할까	하/px+ㄹ까/ef
?	?/sf
#16:ph08[1220]
(	(/sl
a	a/f
)	)/sr
이	이/mmd
토막이	토막/ncn+이/jcs
P	P/f
점에서	점/ncn+에서/jca
정지	정지/ncn
상태로부터	상태/ncn+로/jca+부터/jxc
내려오기	내리/pvg+어/ecs+오/pvg+기/etn
시작했다면	시작/ncpa+하/xsv+었/ep+다/ef+면/ecs
이	이/mmd
토막이	토막/ncn+이/jcs
Q	Q/f
점에	점/ncn+에/jca
도달했을	도달/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
토막에	토막/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
합력은	합력/ncn+은/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
?	?/sf
#16:ph08[1188]
(	(/sl
c	c/f
)	)/sr
추가	추/ncn+가/jcs
제일	제일/mag
낮은	낮/paa+은/etm
부분에	부분/ncn+에/jca
있을	있/paa+을/etm
때의	때/ncn+의/jcm
중력	중력/ncn
퍼텐셜에너지값을	퍼텐셜에너지/ncn+값/ncn+을/jco
0	0/nnc
으로	으로/jca
하면	하/pvg+면/ecs
이	이/mmd
계가	계/ncn+가/jcs
갖는	갖/pvg+는/etm
총역학에너지는	총/xp+역학/ncn+에너지/ncn+는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#16:ph08[1016]
이	이/mmd
식은	식/ncn+은/jxc
Denmark	Denmark/f
의	의/jcm
물리학자	물리/ncn+학자/ncn
Niels	Niels/f
Bohr	Bohr/f
에	에/jca
의해	의하/pvg+어/ecs
처음으로	처음/ncn+으로/jca
제안되었으며	제안/ncpa+되/xsv+었/ep+으며/ecs
원자에서	원자/ncn+에서/jca
잃어버린	잃/pvg+어/ecx+버리/px+ㄴ/etm
에너지	에너지/ncn
E_x	E_x/f
-	-/sd
E_y	E_y/f
가	가/jcs
빛으로	빛/ncn+으로/jca
방출되었음을	방출/ncpa+되/xsv+었/ep+음/etn+을/jco
의미한다	의미/ncps+하/xsm+ㄴ다/ef
.	./sf
#16:ph08[1010]
이	이/mmd
노란빛은	노라/paa+ㄴ/etm+빛/ncn+은/jxc
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
17	17/nno
)	)/sr
에서와	에서/jca+와/jct
같이	같/paa+이/xsa
나트륨	나트륨/ncn
원자가	원자/ncn+가/jcs
들뜬상태의	들뜨/pvg+ㄴ/etm+상태/ncn+의/jcm
에너지	에너지/ncn
준위	준위/ncn
E_	E_/f
{	{/sl
1	1/nnc
}	}/sr
에서	에서/jca
바닥상태	바닥/ncn+상태/ncn
E_	E_/f
{	{/sl
0	0/nnc
}	}/sr
로	로/jca
전이할	전이/ncpa+하/xsv+ㄹ/etm
때	때/ncn
방출된다	방출/ncpa+되/xsv+ㄴ다/ef
.	./sf
#16:ph08[981]
이	이/mmd
과정에서	과정/ncn+에서/jca
197	197/nnc
MeV	MeV/f
의	의/jcm
에너지가	에너지/ncn+가/jcs
방출되었으며	방출/ncpa+되/xsv+었/ep+으며/ecc
이는	이/npd+는/jxc
수	수/ncn
eV	eV/f
정도를	정도/ncn+를/jco
방출하는	방출/ncpa+하/xsv+는/etm
전형적인	전형/ncn+적/xsn+이/jp+ㄴ/etm
화학반응에	화학/ncn+반응/ncn+에/jca
비하여	비하/pvg+여/ecs
매우	매우/mag
큰	크/paa+ㄴ/etm
값이다	값/ncn+이/jp+다/ef
.	./sf
#16:ph08[919]
항력은	항력/ncn+은/jxc
항상	항상/mag
계의	계/ncn+의/jcm
이동	이동/ncn
방향에	방향/ncn+에/jca
대해	대하/pvg+어/ecs
수직이기	수직/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
이	이/mmd
계	계/ncn
-	-/sd
지구	지구/nq
-	-/sd
언덕길	언덕/ncn+길/ncn
계에	계/ncn+에/jca
에너지의	에너지/ncn+의/jcm
변화를	변화/ncn+를/jco
줄	주/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
#16:ph08[862]
이	이/mmd
때의	때/ncn+의/jcm
확장된	확장/ncpa+되/xsv+ㄴ/etm
계를	계/ncn+를/jco
이제는	이제/ncn+는/jxc
고립된	고립/ncpa+되/xsv+ㄴ/etm
계로	계/ncn+로/jca
간주될	간주/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있으며	있/paa+으며/ecc
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
20	20/nno
)	)/sr
을	을/jco
여기에	여기/npd+에/jca
적용할	적용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph08[858]
이	이/mmd
식은	식/ncn+은/jxc
외력에	외력/ncn+에/jca
의해	의하/pvg+어/ecs
W	W/f
의	의/jcm
일이	일/ncn+이/jcs
어떤	어떤/mmd
계에	계/ncn+에/jca
가해졌다면	가하/pvg+어/ecx+지/px+었/ep+다/ef+면/ecs
계에	계/ncn+에/jca
저장된	저장/ncpa+되/xsv+ㄴ/etm
모든	모든/mma
에너지는	에너지/ncn+는/jxc
W	W/f
만큼	만큼/jxc
늘어났음을	늘/pvg+어/ecx+나/px+았/ep+음/etn+을/jco
의미한다	의미/ncps+하/xsm+ㄴ다/ef
.	./sf
#16:ph08[854]
고립된	고립/ncpa+되/xsv+ㄴ/etm
계에서	계/ncn+에서/jca
에너지는	에너지/ncn+는/jxc
한	한/nnc
형태에서	형태/ncn+에서/jca
다른	다르/paa+ㄴ/etm
형태로	형태/ncn+로/jca
변할	변하/pvg+ㄹ/etm
수	수/nbn
있지만	있/paa+지만/ecs
계	계/ncn
내의	내/nbn+의/jcm
총에너지는	총/xp+에너지/ncn+는/jxc
항상	항상/mag
일정하다	일정/ncps+하/xsm+다/ef
.	./sf
#16:ph08[798]
세로로	세로/ncn+로/jca
이동한	이동/ncpa+하/xsv+ㄴ/etm
거리의	거리/ncn+의/jcm
합은	합/ncn+은/jxc
h	h/f
가	가/jcc
되기	되/pvg+기/etn
때문에	때문/nbn+에/jca
계단식	계단/ncn+식/xsn
경로를	경로/ncn+를/jco
따라	따르/pvg+아/ecs
mg	mg/f
가	가/jcs
한	하/pvg+ㄴ/etm
일의	일/ncn+의/jcm
합은	합/ncn+은/jxc
-	-/sd
mgh	mgh/f
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#16:ph08[795]
또한	또한/maj
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
11	11/nno
b	b/f
)	)/sr
와	와/jct
같은	같/paa+은/etm
임의의	임의/ncn+의/jcm
경로	경로/ncn
X	X/f
를	를/jco
따라가도	따르/pvg+아/ecs+가/pvg+도/ecs
일의	일/ncn+의/jcm
값은	값/ncn+은/jxc
-	-/sd
mgh	mgh/f
가	가/jcc
됨을	되/pvg+ㅁ/etn+을/jco
보일	보이/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph08[792]
세로경로	세로/ncn+경로/ncn
af	af/f
에서	에서/jca
일은	일/ncn+은/jxc
-	-/sd
mgh	mgh/f
이므로	이/jp+므로/ecs
경로	경로/ncn
1	1/nnc
을	을/jco
따라	따르/pvg+아/ecs
mg	mg/f
가	가/jcs
돌에	돌/ncn+에/jca
해준	하/pvg+어/ecx+주/px+ㄴ/etm
총	총/mma
일	일/ncn
W	W/f
는	는/jxc
-	-/sd
mgh	mgh/f
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#16:ph08[766]
공을	공/ncn+을/jco
잡았을	잡/pvg+았/ep+을/etm
때의	때/ncn+의/jcm
위치는	위치/ncn+는/jxc
공이	공/ncn+이/jcs
운동을	운동/ncn+을/jco
시작한	시작/ncpa+하/xsv+ㄴ/etm
위치와	위치/ncn+와/jct
같으므로	같/paa+으므로/ecs
이러한	이러하/pad+ㄴ/etm
왕복운동에	왕복/ncn+운동/ncn+에/jca
대한	대하/pvg+ㄴ/etm
경로를	경로/ncn+를/jco
닫힌	닫히/pvg+ㄴ/etm
경로라고	경로/ncn+라/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
#16:ph08[596]
따라서	따라서/maj
힘이	힘/ncn+이/jcs
계의	계/ncn+의/jcm
형태를	형태/ncn+를/jco
변화시켜	변화/ncpa+시키/xsv+어/ecs
계의	계/ncn+의/jcm
퍼텐셜에너지를	퍼텐셜에너지/ncn+를/jco
변화시키면	변화/ncpa+시키/xsv+면/ecs
퍼텐셜에너지	퍼텐셜에너지/ncn
변화는	변화/ncn+는/jxc
힘에	힘/ncn+에/jca
의해	의하/pvg+어/ecs
행해진	행하/pvg+어/ecx+지/px+ㄴ/etm
음의	음/ncn+의/jcm
일이	일/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#16:ph08[594]
무게	무게/ncn
또는	또는/maj
용수철	용수철/ncn
힘	힘/ncn
같은	같/paa+은/etm
단일힘	단일/ncn+힘/ncn
F	F/f
가	가/jcs
한	한/nnc
입자에	입자/ncn+에/jca
작용하여	작용/ncpa+하/xsv+여/ecs
어느	어느/mmd
양만큼의	양/ncn+만큼/nbn+의/jcm
일	일/ncn
W	W/f
을	을/jco
한다고	하/pvg+ㄴ다/ef+고/jcr
가정하자	가정/ncpa+하/xsv+자/ef
.	./sf
#16:ph08[579]
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
4	4/nno
)	)/sr
에서	에서/jca
공이	공/ncn+이/jcs
올라가면서	오르/pvg+아/ecs+가/pvg+면서/ecs
운동에너지를	운동/ncn+에너지/ncn+를/jco
잃으면	잃/pvg+으면/ecs
공으로부터	공/ncn+으로/jca+부터/jxc
공	공/ncn
-	-/sd
지구계로	지구/ncn+계/xsn+로/jca
에너지가	에너지/ncn+가/jcs
전달된다고	전달/ncpa+되/xsv+ㄴ다/ef+고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으며	있/paa+으며/ecc
중력	중력/ncn
퍼텐셜에너지로	퍼텐셜에너지/ncn+로/jca
저장된다	저장/ncpa+되/xsv+ㄴ다/ef
.	./sf
#16:ph08[572]
이는	이/npd+는/jxc
토막의	토막/ncn+의/jcm
운동에너지	운동/ncn+에너지/ncn
변화는	변화/ncn+는/jxc
크기가	크기/ncn+가/jcs
같고	같/paa+고/ecc
변화의	변화/ncn+의/jcm
방향이	방향/ncn+이/jcs
정반대인	정반대/ncn+이/jp+ㄴ/etm
용수철의	용수철/ncn+의/jcm
탄성	탄성/ncn
퍼텐셜에너지	퍼텐셜에너지/ncn
변화를	변화/ncn+를/jco
수반함을	수반/ncpa+하/xsv+ㅁ/etn+을/jco
말해주고	말/ncpa+하/xsv+어/ecx+주/px+고/ecx
있다	있/px+다/ef
.	./sf
#16:ph08[546]
힘이	힘/ncn+이/jcs
용수철의	용수철/ncn+의/jcm
힘	힘/ncn
또는	또는/maj
중력인	중력/ncn+이/jp+ㄴ/etm
경우에	경우/ncn+에/jca
이	이/mmd
시험을	시험/ncn+을/jco
수행할	수행/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#16:ph08[537]
Rheims	nq[Rheims/f
대성당	대/xp+성당/ncn]nq
[	[/sl
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
2	2/nno
)]	)/sr+]/sr
를	를/jco
이루고	이루/pvg+고/ecx
있는	있/px+는/etm
각각의	각각/ncn+의/jcm
돌들이	돌/ncn+들/xsn+이/jcs
채석장에서	채석/ncn+장/xsn+에서/jca
현재의	현재/ncn+의/jcm
높이로	높이/ncn+로/jca
올려졌을	올리/pvg+어/ecx+지/px+었/ep+을/etm
때	때/ncn
퍼텐셜에너지는	퍼텐셜에너지/ncn+는/jxc
돌	돌/ncn
-	-/sd
지구계에	지구/ncn+계/xsn+에/jca
저장된	저장/ncpa+되/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#16:ph08[534]
에너지를	에너지/ncn+를/jco
기술하는	기술/ncpa+하/xsv+는/etm
용어에서	용어/ncn+에서/jca
퍼텐셜에너지는	퍼텐셜에너지/ncn+는/jxc
종종	종종/mag
계내에	계/ncn+내/nbn+에/jca
저장된	저장/ncpa+되/xsv+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
하는데	하/pvg+는데/ecs
이런	이런/mmd
의미에서	의미/ncn+에서/jca
이것은	이것/npd+은/jxc
운동을	운동/ncn+을/jco
유발시킬	유발/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph08[525]
이번	이/mmd+번/nbn
장에서는	장/ncn+에서/jca+는/jxc
다른	다르/paa+ㄴ/etm
종류의	종류/ncn+의/jcm
에너지	에너지/ncn
(	(/sl
퍼텐셜	퍼텐셜/ncn
에너지	에너지/ncn
,	,/sp
하나	하나/nnc
또는	또는/maj
그	그/mmd
이상의	이상/ncn+의/jcm
물체의	물체/ncn+의/jcm
형태와	형태/ncn+와/jcj
관련	관련/ncn
있는	있/paa+는/etm
에너지	에너지/ncn
)	)/sr
를	를/jco
고려하겠다	고려/ncpa+하/xsv+겠/ep+다/ef
.	./sf
#16:ph08[333]
고립된	고립/ncpa+되/xsv+ㄴ/etm
계에서	계/ncn+에서/jca
에너지는	에너지/ncn+는/jxc
한	한/nnc
형태에서	형태/ncn+에서/jca
다른	다르/paa+ㄴ/etm
형태로	형태/ncn+로/jca
변할	변하/pvg+ㄹ/etm
수	수/nbn
있지만	있/paa+지만/ecs
계	계/ncn
내의	내/nbn+의/jcm
총에너지는	총/xp+에너지/ncn+는/jxc
항상	항상/mag
일정하다	일정/ncps+하/xsm+다/ef
.	./sf
#16:ph08[277]
세로로	세로/ncn+로/jca
이동한	이동/ncpa+하/xsv+ㄴ/etm
거리의	거리/ncn+의/jcm
합은	합/ncn+은/jxc
h	h/f
가	가/jcc
되기	되/pvg+기/etn
때문에	때문/nbn+에/jca
계단식	계단/ncn+식/xsn
경로를	경로/ncn+를/jco
따라	따르/pvg+아/ecs
mg	mg/f
가	가/jcs
한	하/pvg+ㄴ/etm
일의	일/ncn+의/jcm
합은	합/ncn+은/jxc
-	-/sd
mgh	mgh/f
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#16:ph08[274]
또한	또한/maj
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
11	11/nno
b	b/f
