
<tdmsfile>

머리는	머리/ncn+는/jxc
어떤	어떤/mmd
수단을	수단/ncn+을/jco
쓰든지	쓰/pvg+든지/ecs
온	온/mma
나라의	나라/ncn+의/jcm
황복들을	황복/ncn+들/xsn+을/jco
임진강과	임진강/nq+과/jcj
섬진강에	섬진강/nq+에/jca
불러서	부르/pvg+어서/ecs
,	,/sp
편안하게	편안/ncps+하/xsm+게/ecs
살수	살/pvg+ㄹ/etm+수/nbn
있도록	있/paa+도록/ecs
해주고	하/pvg+어/ecx+주/px+고/ecx
싶다	싶/px+다/ef
.	./sf

그렇게	그렇/pad+게/ecx
하는	하/px+는/etm
것이	것/nbn+이/jcs
역사가	역사/ncn+가/jcs
잘못	잘못/mag
흐르는	흐르/pvg+는/etm
것을	것/nbn+을/jco
막는	막/pvg+는/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
생각하기	생각/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
</tdmsfile>
